DMC, Name, Hex
Ecru, Ecru/off-white, #fff7e7
315, Antique Mauve - MED DK, #7d4246
Blanc, White, #eeeeee
316, Antique Mauve - MED, #bc757f
B5200, Snow White, #fcfcff
317, Pewter Gray, #6d6469
White, White, #ffffff
318, Steel Gray - LT, #999b9d
150, Red - BRIGHT, #cf0053
319, Pistachio Green - VY DK, #3a553b
151, Pink, #ffcbd7
320, Pistachio Green - MED, #608c59
152, Tawny - DK, #e1a1a1
321, Red, #bd1136
153, Lilac, #eac5eb
322, Baby Blue, #3a609d
154, Red - VY DK, #4b233a
326, Rose - VY DK, #ac1c37
155, Forget-me-not Blue, #9774b6
327, Violet, #5e0f77
156, Blue - MED, #8577b4
333, Blue Violet - VY DK, #6e2e9b
157, Blue - LT, #b5b8ea
334, Baby Blue - MED, #6085b8
158, Blue - DK, #393068
335, Rose, #d63d57
159, Petrol Blue - LT, #bcb5de
336, Blue, #0c275e
160, Petrol Blue - MED, #8178a9
340, Blue Violet - MED, #996dc3
161, Petrol Blue - DK, #60568b
341, Blue Violet - LT, #a39ad7
162, Baby Blue - LT, #cae7f0
347, Salmon - VY DK, #ab1b33
163, Green, #557a60
349, Coral - DK, #c62c38
164, Green - LT, #bae4b6
350, Coral - MED, #de3f40
165, Green - BRIGHT, #e1f477
351, Coral, #ed625b
166, Lime Green, #adc238
352, Coral - LT, #f78372
167, Khaki Brown, #855d31
353, Peach, #fdb4a1
168, Silver Gray, #b1aeb7
355, Terra Cotta - DK, #97382b
169, Pewter Gray, #827d7d
356, Terra Cotta - MED, #be5c4b
208, Lavender - VY DK, #9442a7
367, Pistachio Green - DK, #446b45
209, Lavender - DK, #ba72c6
368, Pistachio Green - LT, #7fc66d
210, Lavender - MED, #d49fe1
369, Pistachio Green - VY LT, #cdefa6
211, Lavender - LT, #e5bded
370, Mustard - MED, #917245
221, Shell Pink - VY DK, #792631
371, Mustard, #9f8352
223, Shell Pink - LT, #bb6864
372, Mustard - LT, #ad9564
224, Shell Pink - VY LT, #e2a598
400, Mahogany - DK, #813718
225, Shell Pink - ULT VY LT, #f8d9cd
402, Mahogany - VY LT, #ef9e74
300, Mahogany - VY DK, #6c3116
407, Desert Sand - DK, #b77159
301, Mahogany - MED, #aa5237
413, Pewter Gray - DK, #4a4749
304, Red - MED, #a10c39
414, Steel Gray - DK, #766e72
307, Lemon, #fde949
415, Pearl Gray, #b8b9bd
309, Rose - DK, #ba2044
420, Hazelnut Brown - DK, #855a30
310, Black, #000000
422, Hazelnut Brown - LT, #c99a67
311, Blue - MED, #002a64
433, Brown - MED, #73421e
312, Baby Blue - VY DK, #1f3279
434, Brown - LT, #8f5332
435, Brown - VY LT, #a96538
600, Cranberry - VY DK, #bf1c48
436, Tan, #c78559
601, Cranberry - DK, #c62a53
437, Tan - LT, #daa26f
602, Cranberry - MED, #d63f68
444, Lemon - DK, #f5bc13
603, Cranberry, #ed5d84
445, Lemon - LT, #fcf999
604, Cranberry - LT, #f793b2
451, Shell Gray - DK, #887773
605, Cranberry - VY LT, #fbacc4
452, Shell Gray - MED, #ad9994
606, Orange-red - BRIGHT, #f70f00
453, Shell Gray - LT, #ccb8aa
608, Orange - BRIGHT, #fd480c
469, Avocado Green, #5b6533
610, Drab Brown - DK, #6b5039
470, Avocado Green - LT, #72813e
611, Drab Brown, #7c5f46
471, Avocado Green - VY LT, #9eb357
612, Drab Brown - LT, #a6885e
472, Avocado Green - ULT LT, #d1de75
613, Drab Brown - VY LT, #b99f72
498, Red - DK, #970b2c
632, Desert Sand - ULT VY DK, #7f4232
500, Blue Green - VY DK, #1d362a
640, Beige Gray - VY DK, #817868
501, Blue Green - DK, #2f5446
642, Beige Gray - DK, #958d79
502, Blue Green, #57826e
644, Beige Gray - MED, #c4bea6
503, Blue Green - MED, #89b89f
645, Beaver Gray - VY DK, #5d5d54
504, Blue Green - VY LT, #acdac1
646, Beaver Gray - DK, #6b6860
505, Grass Green - DK, #ceddc1
647, Beaver Gray - MED, #908e85
517, Wedgewood - DK, #216285
648, Beaver Gray - LT, #a7a69f
518, Wedgewood - LT, #50819c
666, Red - BRIGHT, #ce1b33
519, Sky Blue, #94b7cb
676, Old Gold - LT, #ecbf7d
520, Fern Green - DK, #384526
677, Old Gold - VY LT, #f2dc9f
522, Fern Green, #808b6e
680, Old Gold - DK, #b07b46
523, Fern Green - LT, #959f7a
699, Green, #075b26
524, Fern Green - VY LT, #aea78e
700, Green - BRIGHT, #076c34
535, Ash Gray - VY LT, #4b4b49
701, Green - LT, #217c36
543, Beige Brown - ULT VY LT, #ead0b5
702, Kelly Green, #379130
550, Violet - VY DK, #580e5c
703, Chartreuse, #63b330
552, Violet - MED, #902f99
704, Chartreuse - BRIGHT, #88c53a
553, Violet, #a449ac
712, Cream, #f6efda
554, Violet - LT, #dc9cde
718, Plum, #cb2089
561, Jade - VY DK, #285e48
720, Orange Spice - DK, #c83a24
562, Jade - MED, #3b8c5a
721, Orange Spice - MED, #f46440
563, Jade - LT, #6ed39a
722, Orange Spice - LT, #f98756
564, Jade - VY LT, #95e4af
725, Topaz, #f9c15b
580, Moss Green - DK, #355f0b
726, Topaz - LT, #fddb63
581, Moss Green, #838a29
727, Topaz - VY LT, #fde98b
597, Turquoise, #52adab
728, Golden Yellow, #f2ae3f
598, Turquoise - LT, #97d8d3
729, Old Gold - MED, #ce9657
730, Olive Green - VY DK, #63520b
803, Blue - DEEP, #202754
731, Olive Green - DK, #6b580b
806, Peacock Blue - DK, #1d6c87
732, Olive Green, #725c0c
807, Peacock Blue, #558b9e
733, Olive Green - MED, #a78a44
809, Delft Blue, #919fd5
734, Olive Green - LT, #bb9c54
813, Blue - LT, #7fa0c6
738, Tan - VY LT, #e2b783
814, Garnet - DK, #711033
739, Tan - ULT VY LT, #f2deb9
815, Garnet - MED, #800b34
740, Tangerine, #fd6f1a
816, Garnet, #921238
741, Tangerine - MED, #fc8b10
817, Coral Red - VY DK, #bb1630
742, Tangerine - LT, #fdae3c
818, Baby Pink, #fededd
743, Yellow - MED, #fdd769
819, Baby Pink - LT, #fcebde
744, Yellow - PALE, #fee88d
820, Royal Blue - VY DK, #151264
745, Yellow - LT PALE, #feeba5
822, Beige Gray - LT, #e8dfc7
746, Off White, #faf2d5
823, Blue - DK, #000b44
747, Sky Blue - VY LT, #cee9ea
824, Blue - VY DK, #284779
754, Peach - LT, #f7c9b0
825, Blue - DK, #34588f
758, Terra Cotta - VY LT, #e99f83
826, Blue - MED, #5075a7
760, Salmon, #ec8880
827, Blue - VY LT, #a4c1de
761, Salmon - LT, #f8b4ad
828, Blue - ULT VY LT, #c3d7e6
762, Pearl Gray - VY LT, #d1d0d2
829, Golden Olive - VY DK, #64480c
772, Yellow Green - VY LT, #d7efa7
830, Golden Olive - DK, #6e501d
775, Baby Blue - VY LT, #d4e3ef
831, Golden Olive - MED, #7c5f20
776, Pink - MED, #fca8ad
832, Golden Olive, #9c7230
777, Red - DEEP, #9b0042
833, Golden Olive - LT, #b99956
778, Antique Mauve - VY LT, #dca6a4
834, Golden Olive - VY LT, #d2b468
779, Brown, #53332d
838, Beige Brown - VY DK, #4a3021
780, Topaz - ULT VY DK, #945026
839, Beige Brown - DK, #5a3c2d
781, Topaz - VY DK, #a25f1f
840, Beige Brown - MED, #7a5939
782, Topaz - DK, #b26923
841, Beige Brown - LT, #a37d64
783, Topaz - MED, #d0883d
842, Beige Brown - VY LT, #cbb094
791, Cornflower Blue - VY DK, #2d2068
844, Beaver Gray - ULT DK, #494842
792, Cornflower Blue - DK, #454b8b
868, Hazel Nut Brown, #995c30
793, Cornflower Blue - MED, #7c82b5
